org_id	operator_id	itemId	remark	gmt_created	shop_id	unix_timestamp(d.gmt_created)	time+itemId	date
1017232	100008663	98498	上架	2020-06-09T09:25:45	782	1591665945	159166594598498	2020/6/9
1017232	100008663	98497	上架	2020-06-09T09:25:45	782	1591665945	159166594598497	2020/6/9
1017232	100008663	98496	上架	2020-06-09T09:25:45	782	1591665945	159166594598496	2020/6/9
1017232	100008663	98495	上架	2020-06-09T09:25:45	782	1591665945	159166594598495	2020/6/9
1017232	100008663	98494	上架	2020-06-09T09:25:45	782	1591665945	159166594598494	2020/6/9
1017232	100008663	98493	上架	2020-06-09T09:25:45	782	1591665945	159166594598493	2020/6/9
1017232	100008663	98492	上架	2020-06-09T09:25:45	782	1591665945	159166594598492	2020/6/9
1017232	100008663	98491	上架	2020-06-09T09:25:45	782	1591665945	159166594598491	2020/6/9
1017232	100008663	98490	上架	2020-06-09T09:25:45	782	1591665945	159166594598490	2020/6/9
1017232	100008663	98489	上架	2020-06-09T09:25:45	782	1591665945	159166594598489	2020/6/9
1017232	100008663	98488	上架	2020-06-09T09:25:45	782	1591665945	159166594598488	2020/6/9
1017232	100008663	98487	上架	2020-06-09T09:25:45	782	1591665945	159166594598487	2020/6/9
1017232	100008663	98824	上架	2020-06-08T13:24:06	782	1591593846	159159384698824	2020/6/8
1017232	100008663	98823	上架	2020-06-08T13:24:06	782	1591593846	159159384698823	2020/6/8
1017232	100008663	98822	上架	2020-06-08T13:24:06	782	1591593846	159159384698822	2020/6/8
1017232	100008663	98821	上架	2020-06-08T13:24:06	782	1591593846	159159384698821	2020/6/8
1017232	100008663	98820	上架	2020-06-08T13:24:06	782	1591593846	159159384698820	2020/6/8
1017232	100008663	98819	上架	2020-06-08T13:24:06	782	1591593846	159159384698819	2020/6/8
1017232	100008663	939581	上架	2020-06-08T13:23:43	782	1591593823	1591593823939581	2020/6/8
1017232	100008663	98824	上架	2020-06-08T13:23:43	782	1591593823	159159382398824	2020/6/8
